season,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session1DateUtc,Session2,Session2Date,Session2DateUtc,Session3,Session3Date,Session3DateUtc,Session4,Session4Date,Session4DateUtc,Session5,Session5Date,Session5DateUtc,F1ApiSupport
1951,6,Germany,Nürburg,,1951-07-29 00:00:00,German Grand Prix,conventional,Practice 1,,1951-07-27 00:00:00,Practice 2,,1951-07-27 00:00:00,Practice 3,,1951-07-28 00:00:00,Qualifying,,1951-07-28 00:00:00,Race,,1951-07-29 00:00:00,False
1951,7,Italy,Monza,,1951-09-16 00:00:00,Italian Grand Prix,conventional,Practice 1,,1951-09-14 00:00:00,Practice 2,,1951-09-14 00:00:00,Practice 3,,1951-09-15 00:00:00,Qualifying,,1951-09-15 00:00:00,Race,,1951-09-16 00:00:00,False
1951,8,Spain,Barcelona,,1951-10-28 00:00:00,Spanish Grand Prix,conventional,Practice 1,,1951-10-26 00:00:00,Practice 2,,1951-10-26 00:00:00,Practice 3,,1951-10-27 00:00:00,Qualifying,,1951-10-27 00:00:00,Race,,1951-10-28 00:00:00,False
1952,1,Switzerland,Bern,,1952-05-18 00:00:00,Swiss Grand Prix,conventional,Practice 1,,1952-05-16 00:00:00,Practice 2,,1952-05-16 00:00:00,Practice 3,,1952-05-17 00:00:00,Qualifying,,1952-05-17 00:00:00,Race,,1952-05-18 00:00:00,False
1952,2,USA,Indianapolis,,1952-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1952-05-28 00:00:00,Practice 2,,1952-05-28 00:00:00,Practice 3,,1952-05-29 00:00:00,Qualifying,,1952-05-29 00:00:00,Race,,1952-05-30 00:00:00,False
1952,3,Belgium,Spa,,1952-06-22 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1952-06-20 00:00:00,Practice 2,,1952-06-20 00:00:00,Practice 3,,1952-06-21 00:00:00,Qualifying,,1952-06-21 00:00:00,Race,,1952-06-22 00:00:00,False
1952,4,France,Rouen,,1952-07-06 00:00:00,French Grand Prix,conventional,Practice 1,,1952-07-04 00:00:00,Practice 2,,1952-07-04 00:00:00,Practice 3,,1952-07-05 00:00:00,Qualifying,,1952-07-05 00:00:00,Race,,1952-07-06 00:00:00,False
1952,5,UK,Silverstone,,1952-07-19 00:00:00,British Grand Prix,conventional,Practice 1,,1952-07-17 00:00:00,Practice 2,,1952-07-17 00:00:00,Practice 3,,1952-07-18 00:00:00,Qualifying,,1952-07-18 00:00:00,Race,,1952-07-19 00:00:00,False
1952,6,Germany,Nürburg,,1952-08-03 00:00:00,German Grand Prix,conventional,Practice 1,,1952-08-01 00:00:00,Practice 2,,1952-08-01 00:00:00,Practice 3,,1952-08-02 00:00:00,Qualifying,,1952-08-02 00:00:00,Race,,1952-08-03 00:00:00,False
1952,7,Netherlands,Zandvoort,,1952-08-17 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1952-08-15 00:00:00,Practice 2,,1952-08-15 00:00:00,Practice 3,,1952-08-16 00:00:00,Qualifying,,1952-08-16 00:00:00,Race,,1952-08-17 00:00:00,False
1952,8,Italy,Monza,,1952-09-07 00:00:00,Italian Grand Prix,conventional,Practice 1,,1952-09-05 00:00:00,Practice 2,,1952-09-05 00:00:00,Practice 3,,1952-09-06 00:00:00,Qualifying,,1952-09-06 00:00:00,Race,,1952-09-07 00:00:00,False
1953,1,Argentina,Buenos Aires,,1953-01-18 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1953-01-16 00:00:00,Practice 2,,1953-01-16 00:00:00,Practice 3,,1953-01-17 00:00:00,Qualifying,,1953-01-17 00:00:00,Race,,1953-01-18 00:00:00,False
1953,2,USA,Indianapolis,,1953-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1953-05-28 00:00:00,Practice 2,,1953-05-28 00:00:00,Practice 3,,1953-05-29 00:00:00,Qualifying,,1953-05-29 00:00:00,Race,,1953-05-30 00:00:00,False
1953,3,Netherlands,Zandvoort,,1953-06-07 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1953-06-05 00:00:00,Practice 2,,1953-06-05 00:00:00,Practice 3,,1953-06-06 00:00:00,Qualifying,,1953-06-06 00:00:00,Race,,1953-06-07 00:00:00,False
1953,4,Belgium,Spa,,1953-06-21 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1953-06-19 00:00:00,Practice 2,,1953-06-19 00:00:00,Practice 3,,1953-06-20 00:00:00,Qualifying,,1953-06-20 00:00:00,Race,,1953-06-21 00:00:00,False
1953,5,France,Reims,,1953-07-05 00:00:00,French Grand Prix,conventional,Practice 1,,1953-07-03 00:00:00,Practice 2,,1953-07-03 00:00:00,Practice 3,,1953-07-04 00:00:00,Qualifying,,1953-07-04 00:00:00,Race,,1953-07-05 00:00:00,False
1953,6,UK,Silverstone,,1953-07-18 00:00:00,British Grand Prix,conventional,Practice 1,,1953-07-16 00:00:00,Practice 2,,1953-07-16 00:00:00,Practice 3,,1953-07-17 00:00:00,Qualifying,,1953-07-17 00:00:00,Race,,1953-07-18 00:00:00,False
1953,7,Germany,Nürburg,,1953-08-02 00:00:00,German Grand Prix,conventional,Practice 1,,1953-07-31 00:00:00,Practice 2,,1953-07-31 00:00:00,Practice 3,,1953-08-01 00:00:00,Qualifying,,1953-08-01 00:00:00,Race,,1953-08-02 00:00:00,False
1953,8,Switzerland,Bern,,1953-08-23 00:00:00,Swiss Grand Prix,conventional,Practice 1,,1953-08-21 00:00:00,Practice 2,,1953-08-21 00:00:00,Practice 3,,1953-08-22 00:00:00,Qualifying,,1953-08-22 00:00:00,Race,,1953-08-23 00:00:00,False
1953,9,Italy,Monza,,1953-09-13 00:00:00,Italian Grand Prix,conventional,Practice 1,,1953-09-11 00:00:00,Practice 2,,1953-09-11 00:00:00,Practice 3,,1953-09-12 00:00:00,Qualifying,,1953-09-12 00:00:00,Race,,1953-09-13 00:00:00,False
1954,1,Argentina,Buenos Aires,,1954-01-17 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1954-01-15 00:00:00,Practice 2,,1954-01-15 00:00:00,Practice 3,,1954-01-16 00:00:00,Qualifying,,1954-01-16 00:00:00,Race,,1954-01-17 00:00:00,False
1954,2,USA,Indianapolis,,1954-05-31 00:00:00,Indianapolis 500,conventional,Practice 1,,1954-05-29 00:00:00,Practice 2,,1954-05-29 00:00:00,Practice 3,,1954-05-30 00:00:00,Qualifying,,1954-05-30 00:00:00,Race,,1954-05-31 00:00:00,False
1954,3,Belgium,Spa,,1954-06-20 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1954-06-18 00:00:00,Practice 2,,1954-06-18 00:00:00,Practice 3,,1954-06-19 00:00:00,Qualifying,,1954-06-19 00:00:00,Race,,1954-06-20 00:00:00,False
1954,4,France,Reims,,1954-07-04 00:00:00,French Grand Prix,conventional,Practice 1,,1954-07-02 00:00:00,Practice 2,,1954-07-02 00:00:00,Practice 3,,1954-07-03 00:00:00,Qualifying,,1954-07-03 00:00:00,Race,,1954-07-04 00:00:00,False
1954,5,UK,Silverstone,,1954-07-17 00:00:00,British Grand Prix,conventional,Practice 1,,1954-07-15 00:00:00,Practice 2,,1954-07-15 00:00:00,Practice 3,,1954-07-16 00:00:00,Qualifying,,1954-07-16 00:00:00,Race,,1954-07-17 00:00:00,False
1954,6,Germany,Nürburg,,1954-08-01 00:00:00,German Grand Prix,conventional,Practice 1,,1954-07-30 00:00:00,Practice 2,,1954-07-30 00:00:00,Practice 3,,1954-07-31 00:00:00,Qualifying,,1954-07-31 00:00:00,Race,,1954-08-01 00:00:00,False
1954,7,Switzerland,Bern,,1954-08-22 00:00:00,Swiss Grand Prix,conventional,Practice 1,,1954-08-20 00:00:00,Practice 2,,1954-08-20 00:00:00,Practice 3,,1954-08-21 00:00:00,Qualifying,,1954-08-21 00:00:00,Race,,1954-08-22 00:00:00,False
1954,8,Italy,Monza,,1954-09-05 00:00:00,Italian Grand Prix,conventional,Practice 1,,1954-09-03 00:00:00,Practice 2,,1954-09-03 00:00:00,Practice 3,,1954-09-04 00:00:00,Qualifying,,1954-09-04 00:00:00,Race,,1954-09-05 00:00:00,False
1954,9,Spain,Barcelona,,1954-10-24 00:00:00,Spanish Grand Prix,conventional,Practice 1,,1954-10-22 00:00:00,Practice 2,,1954-10-22 00:00:00,Practice 3,,1954-10-23 00:00:00,Qualifying,,1954-10-23 00:00:00,Race,,1954-10-24 00:00:00,False
1955,1,Argentina,Buenos Aires,,1955-01-16 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1955-01-14 00:00:00,Practice 2,,1955-01-14 00:00:00,Practice 3,,1955-01-15 00:00:00,Qualifying,,1955-01-15 00:00:00,Race,,1955-01-16 00:00:00,False
1955,2,Monaco,Monte-Carlo,,1955-05-22 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1955-05-20 00:00:00,Practice 2,,1955-05-20 00:00:00,Practice 3,,1955-05-21 00:00:00,Qualifying,,1955-05-21 00:00:00,Race,,1955-05-22 00:00:00,False
1955,3,USA,Indianapolis,,1955-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1955-05-28 00:00:00,Practice 2,,1955-05-28 00:00:00,Practice 3,,1955-05-29 00:00:00,Qualifying,,1955-05-29 00:00:00,Race,,1955-05-30 00:00:00,False
1955,4,Belgium,Spa,,1955-06-05 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1955-06-03 00:00:00,Practice 2,,1955-06-03 00:00:00,Practice 3,,1955-06-04 00:00:00,Qualifying,,1955-06-04 00:00:00,Race,,1955-06-05 00:00:00,False
1955,5,Netherlands,Zandvoort,,1955-06-19 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1955-06-17 00:00:00,Practice 2,,1955-06-17 00:00:00,Practice 3,,1955-06-18 00:00:00,Qualifying,,1955-06-18 00:00:00,Race,,1955-06-19 00:00:00,False
1955,6,UK,Liverpool,,1955-07-16 00:00:00,British Grand Prix,conventional,Practice 1,,1955-07-14 00:00:00,Practice 2,,1955-07-14 00:00:00,Practice 3,,1955-07-15 00:00:00,Qualifying,,1955-07-15 00:00:00,Race,,1955-07-16 00:00:00,False
1955,7,Italy,Monza,,1955-09-11 00:00:00,Italian Grand Prix,conventional,Practice 1,,1955-09-09 00:00:00,Practice 2,,1955-09-09 00:00:00,Practice 3,,1955-09-10 00:00:00,Qualifying,,1955-09-10 00:00:00,Race,,1955-09-11 00:00:00,False
1956,1,Argentina,Buenos Aires,,1956-01-22 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1956-01-20 00:00:00,Practice 2,,1956-01-20 00:00:00,Practice 3,,1956-01-21 00:00:00,Qualifying,,1956-01-21 00:00:00,Race,,1956-01-22 00:00:00,False
1956,2,Monaco,Monte-Carlo,,1956-05-13 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1956-05-11 00:00:00,Practice 2,,1956-05-11 00:00:00,Practice 3,,1956-05-12 00:00:00,Qualifying,,1956-05-12 00:00:00,Race,,1956-05-13 00:00:00,False
1956,3,USA,Indianapolis,,1956-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1956-05-28 00:00:00,Practice 2,,1956-05-28 00:00:00,Practice 3,,1956-05-29 00:00:00,Qualifying,,1956-05-29 00:00:00,Race,,1956-05-30 00:00:00,False
1956,4,Belgium,Spa,,1956-06-03 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1956-06-01 00:00:00,Practice 2,,1956-06-01 00:00:00,Practice 3,,1956-06-02 00:00:00,Qualifying,,1956-06-02 00:00:00,Race,,1956-06-03 00:00:00,False
1956,5,France,Reims,,1956-07-01 00:00:00,French Grand Prix,conventional,Practice 1,,1956-06-29 00:00:00,Practice 2,,1956-06-29 00:00:00,Practice 3,,1956-06-30 00:00:00,Qualifying,,1956-06-30 00:00:00,Race,,1956-07-01 00:00:00,False
1956,6,UK,Silverstone,,1956-07-14 00:00:00,British Grand Prix,conventional,Practice 1,,1956-07-12 00:00:00,Practice 2,,1956-07-12 00:00:00,Practice 3,,1956-07-13 00:00:00,Qualifying,,1956-07-13 00:00:00,Race,,1956-07-14 00:00:00,False
1956,7,Germany,Nürburg,,1956-08-05 00:00:00,German Grand Prix,conventional,Practice 1,,1956-08-03 00:00:00,Practice 2,,1956-08-03 00:00:00,Practice 3,,1956-08-04 00:00:00,Qualifying,,1956-08-04 00:00:00,Race,,1956-08-05 00:00:00,False
1956,8,Italy,Monza,,1956-09-02 00:00:00,Italian Grand Prix,conventional,Practice 1,,1956-08-31 00:00:00,Practice 2,,1956-08-31 00:00:00,Practice 3,,1956-09-01 00:00:00,Qualifying,,1956-09-01 00:00:00,Race,,1956-09-02 00:00:00,False
1957,1,Argentina,Buenos Aires,,1957-01-13 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1957-01-11 00:00:00,Practice 2,,1957-01-11 00:00:00,Practice 3,,1957-01-12 00:00:00,Qualifying,,1957-01-12 00:00:00,Race,,1957-01-13 00:00:00,False
1957,2,Monaco,Monte-Carlo,,1957-05-19 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1957-05-17 00:00:00,Practice 2,,1957-05-17 00:00:00,Practice 3,,1957-05-18 00:00:00,Qualifying,,1957-05-18 00:00:00,Race,,1957-05-19 00:00:00,False
1957,3,USA,Indianapolis,,1957-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1957-05-28 00:00:00,Practice 2,,1957-05-28 00:00:00,Practice 3,,1957-05-29 00:00:00,Qualifying,,1957-05-29 00:00:00,Race,,1957-05-30 00:00:00,False
1957,4,France,Rouen,,1957-07-07 00:00:00,French Grand Prix,conventional,Practice 1,,1957-07-05 00:00:00,Practice 2,,1957-07-05 00:00:00,Practice 3,,1957-07-06 00:00:00,Qualifying,,1957-07-06 00:00:00,Race,,1957-07-07 00:00:00,False
1957,5,UK,Liverpool,,1957-07-20 00:00:00,British Grand Prix,conventional,Practice 1,,1957-07-18 00:00:00,Practice 2,,1957-07-18 00:00:00,Practice 3,,1957-07-19 00:00:00,Qualifying,,1957-07-19 00:00:00,Race,,1957-07-20 00:00:00,False
1957,6,Germany,Nürburg,,1957-08-04 00:00:00,German Grand Prix,conventional,Practice 1,,1957-08-02 00:00:00,Practice 2,,1957-08-02 00:00:00,Practice 3,,1957-08-03 00:00:00,Qualifying,,1957-08-03 00:00:00,Race,,1957-08-04 00:00:00,False
1957,7,Italy,Pescara,,1957-08-18 00:00:00,Pescara Grand Prix,conventional,Practice 1,,1957-08-16 00:00:00,Practice 2,,1957-08-16 00:00:00,Practice 3,,1957-08-17 00:00:00,Qualifying,,1957-08-17 00:00:00,Race,,1957-08-18 00:00:00,False
1957,8,Italy,Monza,,1957-09-08 00:00:00,Italian Grand Prix,conventional,Practice 1,,1957-09-06 00:00:00,Practice 2,,1957-09-06 00:00:00,Practice 3,,1957-09-07 00:00:00,Qualifying,,1957-09-07 00:00:00,Race,,1957-09-08 00:00:00,False
1958,1,Argentina,Buenos Aires,,1958-01-19 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1958-01-17 00:00:00,Practice 2,,1958-01-17 00:00:00,Practice 3,,1958-01-18 00:00:00,Qualifying,,1958-01-18 00:00:00,Race,,1958-01-19 00:00:00,False
1958,2,Monaco,Monte-Carlo,,1958-05-18 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1958-05-16 00:00:00,Practice 2,,1958-05-16 00:00:00,Practice 3,,1958-05-17 00:00:00,Qualifying,,1958-05-17 00:00:00,Race,,1958-05-18 00:00:00,False
1958,3,Netherlands,Zandvoort,,1958-05-26 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1958-05-24 00:00:00,Practice 2,,1958-05-24 00:00:00,Practice 3,,1958-05-25 00:00:00,Qualifying,,1958-05-25 00:00:00,Race,,1958-05-26 00:00:00,False
1958,4,USA,Indianapolis,,1958-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1958-05-28 00:00:00,Practice 2,,1958-05-28 00:00:00,Practice 3,,1958-05-29 00:00:00,Qualifying,,1958-05-29 00:00:00,Race,,1958-05-30 00:00:00,False
1958,5,Belgium,Spa,,1958-06-15 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1958-06-13 00:00:00,Practice 2,,1958-06-13 00:00:00,Practice 3,,1958-06-14 00:00:00,Qualifying,,1958-06-14 00:00:00,Race,,1958-06-15 00:00:00,False
1958,6,France,Reims,,1958-07-06 00:00:00,French Grand Prix,conventional,Practice 1,,1958-07-04 00:00:00,Practice 2,,1958-07-04 00:00:00,Practice 3,,1958-07-05 00:00:00,Qualifying,,1958-07-05 00:00:00,Race,,1958-07-06 00:00:00,False
1958,7,UK,Silverstone,,1958-07-19 00:00:00,British Grand Prix,conventional,Practice 1,,1958-07-17 00:00:00,Practice 2,,1958-07-17 00:00:00,Practice 3,,1958-07-18 00:00:00,Qualifying,,1958-07-18 00:00:00,Race,,1958-07-19 00:00:00,False
1958,8,Germany,Nürburg,,1958-08-03 00:00:00,German Grand Prix,conventional,Practice 1,,1958-08-01 00:00:00,Practice 2,,1958-08-01 00:00:00,Practice 3,,1958-08-02 00:00:00,Qualifying,,1958-08-02 00:00:00,Race,,1958-08-03 00:00:00,False
1958,9,Portugal,Oporto,,1958-08-24 00:00:00,Portuguese Grand Prix,conventional,Practice 1,,1958-08-22 00:00:00,Practice 2,,1958-08-22 00:00:00,Practice 3,,1958-08-23 00:00:00,Qualifying,,1958-08-23 00:00:00,Race,,1958-08-24 00:00:00,False
1958,10,Italy,Monza,,1958-09-07 00:00:00,Italian Grand Prix,conventional,Practice 1,,1958-09-05 00:00:00,Practice 2,,1958-09-05 00:00:00,Practice 3,,1958-09-06 00:00:00,Qualifying,,1958-09-06 00:00:00,Race,,1958-09-07 00:00:00,False
1958,11,Morocco,Casablanca,,1958-10-19 00:00:00,Moroccan Grand Prix,conventional,Practice 1,,1958-10-17 00:00:00,Practice 2,,1958-10-17 00:00:00,Practice 3,,1958-10-18 00:00:00,Qualifying,,1958-10-18 00:00:00,Race,,1958-10-19 00:00:00,False
1959,1,Monaco,Monte-Carlo,,1959-05-10 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1959-05-08 00:00:00,Practice 2,,1959-05-08 00:00:00,Practice 3,,1959-05-09 00:00:00,Qualifying,,1959-05-09 00:00:00,Race,,1959-05-10 00:00:00,False
1959,2,USA,Indianapolis,,1959-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1959-05-28 00:00:00,Practice 2,,1959-05-28 00:00:00,Practice 3,,1959-05-29 00:00:00,Qualifying,,1959-05-29 00:00:00,Race,,1959-05-30 00:00:00,False
1959,3,Netherlands,Zandvoort,,1959-05-31 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1959-05-29 00:00:00,Practice 2,,1959-05-29 00:00:00,Practice 3,,1959-05-30 00:00:00,Qualifying,,1959-05-30 00:00:00,Race,,1959-05-31 00:00:00,False
1959,4,France,Reims,,1959-07-05 00:00:00,French Grand Prix,conventional,Practice 1,,1959-07-03 00:00:00,Practice 2,,1959-07-03 00:00:00,Practice 3,,1959-07-04 00:00:00,Qualifying,,1959-07-04 00:00:00,Race,,1959-07-05 00:00:00,False
1959,5,UK,Liverpool,,1959-07-18 00:00:00,British Grand Prix,conventional,Practice 1,,1959-07-16 00:00:00,Practice 2,,1959-07-16 00:00:00,Practice 3,,1959-07-17 00:00:00,Qualifying,,1959-07-17 00:00:00,Race,,1959-07-18 00:00:00,False
1959,6,Germany,Berlin,,1959-08-02 00:00:00,German Grand Prix,conventional,Practice 1,,1959-07-31 00:00:00,Practice 2,,1959-07-31 00:00:00,Practice 3,,1959-08-01 00:00:00,Qualifying,,1959-08-01 00:00:00,Race,,1959-08-02 00:00:00,False
1959,7,Portugal,Lisbon,,1959-08-23 00:00:00,Portuguese Grand Prix,conventional,Practice 1,,1959-08-21 00:00:00,Practice 2,,1959-08-21 00:00:00,Practice 3,,1959-08-22 00:00:00,Qualifying,,1959-08-22 00:00:00,Race,,1959-08-23 00:00:00,False
1959,8,Italy,Monza,,1959-09-13 00:00:00,Italian Grand Prix,conventional,Practice 1,,1959-09-11 00:00:00,Practice 2,,1959-09-11 00:00:00,Practice 3,,1959-09-12 00:00:00,Qualifying,,1959-09-12 00:00:00,Race,,1959-09-13 00:00:00,False
1959,9,USA,Florida,,1959-12-12 00:00:00,United States Grand Prix,conventional,Practice 1,,1959-12-10 00:00:00,Practice 2,,1959-12-10 00:00:00,Practice 3,,1959-12-11 00:00:00,Qualifying,,1959-12-11 00:00:00,Race,,1959-12-12 00:00:00,False
1960,1,Argentina,Buenos Aires,,1960-02-07 00:00:00,Argentine Grand Prix,conventional,Practice 1,,1960-02-05 00:00:00,Practice 2,,1960-02-05 00:00:00,Practice 3,,1960-02-06 00:00:00,Qualifying,,1960-02-06 00:00:00,Race,,1960-02-07 00:00:00,False
1960,2,Monaco,Monte-Carlo,,1960-05-29 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1960-05-27 00:00:00,Practice 2,,1960-05-27 00:00:00,Practice 3,,1960-05-28 00:00:00,Qualifying,,1960-05-28 00:00:00,Race,,1960-05-29 00:00:00,False
1960,3,USA,Indianapolis,,1960-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,,1960-05-28 00:00:00,Practice 2,,1960-05-28 00:00:00,Practice 3,,1960-05-29 00:00:00,Qualifying,,1960-05-29 00:00:00,Race,,1960-05-30 00:00:00,False
1960,4,Netherlands,Zandvoort,,1960-06-06 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1960-06-04 00:00:00,Practice 2,,1960-06-04 00:00:00,Practice 3,,1960-06-05 00:00:00,Qualifying,,1960-06-05 00:00:00,Race,,1960-06-06 00:00:00,False
1960,5,Belgium,Spa,,1960-06-19 00:00:00,Belgian Grand Prix,conventional,Practice 1,,1960-06-17 00:00:00,Practice 2,,1960-06-17 00:00:00,Practice 3,,1960-06-18 00:00:00,Qualifying,,1960-06-18 00:00:00,Race,,1960-06-19 00:00:00,False
1960,6,France,Reims,,1960-07-03 00:00:00,French Grand Prix,conventional,Practice 1,,1960-07-01 00:00:00,Practice 2,,1960-07-01 00:00:00,Practice 3,,1960-07-02 00:00:00,Qualifying,,1960-07-02 00:00:00,Race,,1960-07-03 00:00:00,False
1960,7,UK,Silverstone,,1960-07-16 00:00:00,British Grand Prix,conventional,Practice 1,,1960-07-14 00:00:00,Practice 2,,1960-07-14 00:00:00,Practice 3,,1960-07-15 00:00:00,Qualifying,,1960-07-15 00:00:00,Race,,1960-07-16 00:00:00,False
1960,8,Portugal,Oporto,,1960-08-14 00:00:00,Portuguese Grand Prix,conventional,Practice 1,,1960-08-12 00:00:00,Practice 2,,1960-08-12 00:00:00,Practice 3,,1960-08-13 00:00:00,Qualifying,,1960-08-13 00:00:00,Race,,1960-08-14 00:00:00,False
1960,9,Italy,Monza,,1960-09-04 00:00:00,Italian Grand Prix,conventional,Practice 1,,1960-09-02 00:00:00,Practice 2,,1960-09-02 00:00:00,Practice 3,,1960-09-03 00:00:00,Qualifying,,1960-09-03 00:00:00,Race,,1960-09-04 00:00:00,False
1960,10,USA,California,,1960-11-20 00:00:00,United States Grand Prix,conventional,Practice 1,,1960-11-18 00:00:00,Practice 2,,1960-11-18 00:00:00,Practice 3,,1960-11-19 00:00:00,Qualifying,,1960-11-19 00:00:00,Race,,1960-11-20 00:00:00,False
1961,1,Monaco,Monte-Carlo,,1961-05-14 00:00:00,Monaco Grand Prix,conventional,Practice 1,,1961-05-12 00:00:00,Practice 2,,1961-05-12 00:00:00,Practice 3,,1961-05-13 00:00:00,Qualifying,,1961-05-13 00:00:00,Race,,1961-05-14 00:00:00,False
1961,2,Netherlands,Zandvoort,,1961-05-22 00:00:00,Dutch Grand Prix,conventional,Practice 1,,1961-05-20 00:00:00,Practice 2,,1961-05-20 00:00:00,Practice 3,,1961-05-21 00:00:00,Qualifying,,1961-05-21 00:00:00,Race,,1961-05-22 00:00:00,False
