season,round_num,event_name,country,location,event_date,session_one,session_two,session_three,session_four,session_five
1960,1,Argentine Grand Prix,Argentina,Buenos Aires,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1960,2,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1960,3,Indianapolis 500,USA,Indianapolis,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1960,4,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1960,5,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1960,6,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1960,7,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1960,8,Portuguese Grand Prix,Portugal,Oporto,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1960,9,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1960,10,United States Grand Prix,USA,California,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1961,1,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1961,2,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1961,3,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1961,4,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1961,5,British Grand Prix,UK,Liverpool,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1961,6,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1961,7,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1961,8,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1962,1,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1962,2,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1962,3,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1962,4,French Grand Prix,France,Rouen,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1962,5,British Grand Prix,UK,Liverpool,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1962,6,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1962,7,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1962,8,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1962,9,South African Grand Prix,South Africa,Eastern Cape Province,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,1,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,2,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,3,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,4,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,5,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,6,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,7,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,8,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,9,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1963,10,South African Grand Prix,South Africa,Eastern Cape Province,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,1,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,2,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,3,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,4,French Grand Prix,France,Rouen,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,5,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,6,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,7,Austrian Grand Prix,Austria,Styria,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,8,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,9,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1964,10,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,1,South African Grand Prix,South Africa,Eastern Cape Province,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,2,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,3,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,4,French Grand Prix,France,Clermont-Ferrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,5,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,6,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,7,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,8,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,9,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1965,10,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1966,1,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1966,2,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1966,3,French Grand Prix,France,Reims,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1966,4,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1966,5,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1966,6,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1966,7,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1966,8,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1966,9,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,1,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,2,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,3,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,4,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,5,French Grand Prix,France,Le Mans,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,6,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,7,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,8,Canadian Grand Prix,Canada,Ontario,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,9,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,10,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1967,11,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,1,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,2,Spanish Grand Prix,Spain,Madrid,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,3,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,4,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,5,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,6,French Grand Prix,France,Rouen,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,7,British Grand Prix,UK,Kent,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,8,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,9,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,10,Canadian Grand Prix,Canada,Quebec,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,11,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1968,12,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,1,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,2,Spanish Grand Prix,Spain,Barcelona,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,3,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,4,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,5,French Grand Prix,France,Clermont-Ferrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,6,British Grand Prix,UK,Silverstone,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,7,German Grand Prix,Germany,Nürburg,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,8,Italian Grand Prix,Italy,Monza,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,9,Canadian Grand Prix,Canada,Ontario,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,10,United States Grand Prix,USA,New York State,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1969,11,Mexican Grand Prix,Mexico,Mexico City,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,1,South African Grand Prix,South Africa,Midrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,2,Spanish Grand Prix,Spain,Madrid,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,3,Monaco Grand Prix,Monaco,Monte-Carlo,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,4,Belgian Grand Prix,Belgium,Spa,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,5,Dutch Grand Prix,Netherlands,Zandvoort,,Practice 1,Practice 2,Practice 3,Qualifying,Race
1970,6,French Grand Prix,France,Clermont-Ferrand,,Practice 1,Practice 2,Practice 3,Qualifying,Race
