season,grand_prix,date,winner,constructor,laps,time,url
1968,Canada,22 Sep 1968,Denny HulmeHUL,McLaren Ford,90,2:27:11.200,https://www.formula1.com/en/results/1968/races/264/canada/race-result
1968,United States,06 Oct 1968,Jackie StewartSTE,Matra Ford,108,1:59:20.290,https://www.formula1.com/en/results/1968/races/265/united-states/race-result
1968,Mexico,03 Nov 1968,Graham HillHIL,Lotus Ford,65,1:56:43.950,https://www.formula1.com/en/results/1968/races/266/mexico/race-result
1969,South Africa,01 Mar 1969,Jackie StewartSTE,Matra Ford,80,1:50:39.100,https://www.formula1.com/en/results/1969/races/267/south-africa/race-result
1969,Spain,04 May 1969,Jackie StewartSTE,Matra Ford,90,2:16:53.990,https://www.formula1.com/en/results/1969/races/268/spain/race-result
1969,Monaco,18 May 1969,Graham HillHIL,Lotus Ford,80,1:56:59.400,https://www.formula1.com/en/results/1969/races/269/monaco/race-result
1969,Netherlands,21 Jun 1969,Jackie StewartSTE,Matra Ford,90,2:06:42.080,https://www.formula1.com/en/results/1969/races/270/netherlands/race-result
1969,France,06 Jul 1969,Jackie StewartSTE,Matra Ford,38,1:56:47.400,https://www.formula1.com/en/results/1969/races/271/france/race-result
1969,Great Britain,19 Jul 1969,Jackie StewartSTE,Matra Ford,84,1:55:55.600,https://www.formula1.com/en/results/1969/races/272/great-britain/race-result
1969,Germany,03 Aug 1969,Jacky IckxICK,Brabham Ford,14,1:49:55.400,https://www.formula1.com/en/results/1969/races/273/germany/race-result
1969,Italy,07 Sep 1969,Jackie StewartSTE,Matra Ford,68,1:39:11.260,https://www.formula1.com/en/results/1969/races/274/italy/race-result
1969,Canada,20 Sep 1969,Jacky IckxICK,Brabham Ford,90,1:59:25.700,https://www.formula1.com/en/results/1969/races/275/canada/race-result
1969,United States,05 Oct 1969,Jochen RindtRIN,Lotus Ford,108,1:57:56.840,https://www.formula1.com/en/results/1969/races/276/united-states/race-result
1969,Mexico,19 Oct 1969,Denny HulmeHUL,McLaren Ford,65,1:54:08.800,https://www.formula1.com/en/results/1969/races/277/mexico/race-result
1970,South Africa,07 Mar 1970,Jack BrabhamBRA,Brabham Ford,80,1:49:34.600,https://www.formula1.com/en/results/1970/races/278/south-africa/race-result
1970,Spain,19 Apr 1970,Jackie StewartSTE,March Ford,90,2:10:58.200,https://www.formula1.com/en/results/1970/races/279/spain/race-result
1970,Monaco,10 May 1970,Jochen RindtRIN,Lotus Ford,80,1:54:36.600,https://www.formula1.com/en/results/1970/races/280/monaco/race-result
1970,Belgium,07 Jun 1970,Pedro RodriguezROD,BRM,28,1:38:09.900,https://www.formula1.com/en/results/1970/races/281/belgium/race-result
1970,Netherlands,21 Jun 1970,Jochen RindtRIN,Lotus Ford,80,1:50:43.410,https://www.formula1.com/en/results/1970/races/282/netherlands/race-result
1970,France,05 Jul 1970,Jochen RindtRIN,Lotus Ford,38,1:55:57.000,https://www.formula1.com/en/results/1970/races/283/france/race-result
1970,Great Britain,18 Jul 1970,Jochen RindtRIN,Lotus Ford,80,1:57:02.000,https://www.formula1.com/en/results/1970/races/284/great-britain/race-result
1970,Germany,02 Aug 1970,Jochen RindtRIN,Lotus Ford,50,1:42:00.300,https://www.formula1.com/en/results/1970/races/285/germany/race-result
1970,Austria,16 Aug 1970,Jacky IckxICK,Ferrari,60,1:42:17.320,https://www.formula1.com/en/results/1970/races/286/austria/race-result
1970,Italy,06 Sep 1970,Clay RegazzoniREG,Ferrari,68,1:39:06.880,https://www.formula1.com/en/results/1970/races/287/italy/race-result
1970,Canada,20 Sep 1970,Jacky IckxICK,Ferrari,90,2:21:18.400,https://www.formula1.com/en/results/1970/races/288/canada/race-result
1970,United States,04 Oct 1970,Emerson FittipaldiFIT,Lotus Ford,108,1:57:32.790,https://www.formula1.com/en/results/1970/races/289/united-states/race-result
1970,Mexico,25 Oct 1970,Jacky IckxICK,Ferrari,65,1:53:28.360,https://www.formula1.com/en/results/1970/races/290/mexico/race-result
1971,South Africa,06 Mar 1971,Mario AndrettiAND,Ferrari,79,1:47:35.500,https://www.formula1.com/en/results/1971/races/291/south-africa/race-result
1971,Spain,18 Apr 1971,Jackie StewartSTE,Tyrrell Ford,75,1:49:03.400,https://www.formula1.com/en/results/1971/races/292/spain/race-result
1971,Monaco,23 May 1971,Jackie StewartSTE,Tyrrell Ford,80,1:52:21.300,https://www.formula1.com/en/results/1971/races/293/monaco/race-result
1971,Netherlands,20 Jun 1971,Jacky IckxICK,Ferrari,70,1:56:20.090,https://www.formula1.com/en/results/1971/races/294/netherlands/race-result
1971,France,04 Jul 1971,Jackie StewartSTE,Tyrrell Ford,55,1:46:41.680,https://www.formula1.com/en/results/1971/races/295/france/race-result
1971,Great Britain,17 Jul 1971,Jackie StewartSTE,Tyrrell Ford,68,1:31:31.500,https://www.formula1.com/en/results/1971/races/296/great-britain/race-result
1971,Germany,01 Aug 1971,Jackie StewartSTE,Tyrrell Ford,12,1:29:15.700,https://www.formula1.com/en/results/1971/races/297/germany/race-result
1971,Austria,15 Aug 1971,Jo SiffertSIF,BRM,54,1:30:23.910,https://www.formula1.com/en/results/1971/races/298/austria/race-result
1971,Italy,05 Sep 1971,Peter  Gethin GET,BRM,55,1:18:12.600,https://www.formula1.com/en/results/1971/races/299/italy/race-result
1971,Canada,19 Sep 1971,Jackie StewartSTE,Tyrrell Ford,64,1:55:12.900,https://www.formula1.com/en/results/1971/races/300/canada/race-result
1971,United States,03 Oct 1971,Francois  Cevert CEV,Tyrrell Ford,59,1:43:51.991,https://www.formula1.com/en/results/1971/races/301/united-states/race-result
1972,Argentina,23 Jan 1972,Jackie StewartSTE,Tyrrell Ford,95,1:57:58.820,https://www.formula1.com/en/results/1972/races/302/argentina/race-result
1972,South Africa,04 Mar 1972,Denny HulmeHUL,McLaren Ford,79,1:45:49.100,https://www.formula1.com/en/results/1972/races/303/south-africa/race-result
1972,Spain,01 May 1972,Emerson FittipaldiFIT,Lotus Ford,90,2:03:41.230,https://www.formula1.com/en/results/1972/races/304/spain/race-result
1972,Monaco,14 May 1972,Jean-Pierre BeltoiseBEL,BRM,80,2:26:54.700,https://www.formula1.com/en/results/1972/races/305/monaco/race-result
1972,Belgium,04 Jun 1972,Emerson FittipaldiFIT,Lotus Ford,85,1:44:06.700,https://www.formula1.com/en/results/1972/races/306/belgium/race-result
1972,France,02 Jul 1972,Jackie StewartSTE,Tyrrell Ford,38,1:52:21.500,https://www.formula1.com/en/results/1972/races/307/france/race-result
1972,Great Britain,15 Jul 1972,Emerson FittipaldiFIT,Lotus Ford,76,1:47:50.200,https://www.formula1.com/en/results/1972/races/308/great-britain/race-result
1972,Germany,30 Jul 1972,Jacky IckxICK,Ferrari,14,1:42:12.300,https://www.formula1.com/en/results/1972/races/309/germany/race-result
1972,Austria,13 Aug 1972,Emerson FittipaldiFIT,Lotus Ford,54,1:29:16.660,https://www.formula1.com/en/results/1972/races/310/austria/race-result
1972,Italy,10 Sep 1972,Emerson FittipaldiFIT,Lotus Ford,55,1:29:58.400,https://www.formula1.com/en/results/1972/races/311/italy/race-result
1972,Canada,24 Sep 1972,Jackie StewartSTE,Tyrrell Ford,80,1:43:16.900,https://www.formula1.com/en/results/1972/races/312/canada/race-result
1972,United States,08 Oct 1972,Jackie StewartSTE,Tyrrell Ford,59,1:41:45.354,https://www.formula1.com/en/results/1972/races/313/united-states/race-result
1973,Argentina,28 Jan 1973,Emerson FittipaldiFIT,Lotus Ford,96,1:56:18.220,https://www.formula1.com/en/results/1973/races/314/argentina/race-result
1973,Brazil,11 Feb 1973,Emerson FittipaldiFIT,Lotus Ford,40,1:43:55.600,https://www.formula1.com/en/results/1973/races/315/brazil/race-result
1973,South Africa,03 Mar 1973,Jackie StewartSTE,Tyrrell Ford,79,1:43:11.070,https://www.formula1.com/en/results/1973/races/316/south-africa/race-result
1973,Spain,29 Apr 1973,Emerson FittipaldiFIT,Lotus Ford,75,1:48:18.700,https://www.formula1.com/en/results/1973/races/317/spain/race-result
1973,Belgium,20 May 1973,Jackie StewartSTE,Tyrrell Ford,70,1:42:13.430,https://www.formula1.com/en/results/1973/races/318/belgium/race-result
