season,round_num,event_name,country,location,event_date
2021,0,Pre-Season Test,Bahrain,Bahrain,2021-03-12
2021,1,Bahrain Grand Prix,Bahrain,Sakhir,2021-03-26
2021,2,Emilia Romagna Grand Prix,Italy,Imola,2021-04-16
2021,3,Portuguese Grand Prix,Portugal,Portimão,2021-04-30
2021,4,Spanish Grand Prix,Spain,Barcelona,2021-05-07
2021,5,Monaco Grand Prix,Monaco,Monte Carlo,2021-05-20
2021,6,Azerbaijan Grand Prix,Azerbaijan,Baku,2021-06-04
2021,7,French Grand Prix,France,Le Castellet,2021-06-18
2021,8,Styrian Grand Prix,Austria,Spielberg,2021-06-25
2021,9,Austrian Grand Prix,Austria,Spielberg,2021-07-02
2021,10,British Grand Prix,Great Britain,Silverstone,2021-07-16
2021,11,Hungarian Grand Prix,Hungary,Budapest,2021-07-30
2021,12,Belgian Grand Prix,Belgium,Spa-Francorchamps,2021-08-27
2021,13,Dutch Grand Prix,Netherlands,Zandvoort,2021-09-03
2021,14,Italian Grand Prix,Italy,Monza,2021-09-10
2021,15,Russian Grand Prix,Russia,Sochi,2021-09-24
2021,16,Turkish Grand Prix,Turkey,Istanbul,2021-10-08
2021,17,United States Grand Prix,United States,Austin,2021-10-22
2021,18,Mexico City Grand Prix,Mexico,Mexico City,2021-11-05
2021,19,São Paulo Grand Prix,Brazil,São Paulo,2021-11-12
2021,20,Qatar Grand Prix,Qatar,Lusail,2021-11-19
2021,21,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2021-12-03
2021,22,Abu Dhabi Grand Prix,Abu Dhabi,Yas Island,2021-12-10
2022,0,Pre-Season Track Session,Spain,Spain,2022-02-23
2022,0,Pre-Season Test,Bahrain,Bahrain,2022-03-10
2022,1,Bahrain Grand Prix,Bahrain,Sakhir,2022-03-18
2022,2,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2022-03-25
2022,3,Australian Grand Prix,Australia,Melbourne,2022-04-08
2022,4,Emilia Romagna Grand Prix,Italy,Imola,2022-04-22
2022,5,Miami Grand Prix,United States,Miami,2022-05-06
2022,6,Spanish Grand Prix,Spain,Barcelona,2022-05-20
2022,7,Monaco Grand Prix,Monaco,Monaco,2022-05-27
2022,8,Azerbaijan Grand Prix,Azerbaijan,Baku,2022-06-10
2022,9,Canadian Grand Prix,Canada,Montréal,2022-06-17
2022,10,British Grand Prix,Great Britain,Silverstone,2022-07-01
2022,11,Austrian Grand Prix,Austria,Spielberg,2022-07-08
2022,12,French Grand Prix,France,Le Castellet,2022-07-22
2022,13,Hungarian Grand Prix,Hungary,Budapest,2022-07-29
2022,14,Belgian Grand Prix,Belgium,Spa-Francorchamps,2022-08-26
2022,15,Dutch Grand Prix,Netherlands,Zandvoort,2022-09-02
2022,16,Italian Grand Prix,Italy,Monza,2022-09-09
2022,17,Singapore Grand Prix,Singapore,Marina Bay,2022-09-30
2022,18,Japanese Grand Prix,Japan,Suzuka,2022-10-07
2022,19,United States Grand Prix,United States,Austin,2022-10-21
2022,20,Mexico City Grand Prix,Mexico,Mexico City,2022-10-28
2022,21,São Paulo Grand Prix,Brazil,São Paulo,2022-11-11
2022,22,Abu Dhabi Grand Prix,Abu Dhabi,Yas Island,2022-11-18
2023,0,Pre-Season Testing,Bahrain,Sakhir,2023-02-23
2023,1,Bahrain Grand Prix,Bahrain,Sakhir,2023-03-03
2023,2,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2023-03-17
2023,3,Australian Grand Prix,Australia,Melbourne,2023-03-31
2023,4,Azerbaijan Grand Prix,Azerbaijan,Baku,2023-04-28
2023,5,Miami Grand Prix,United States,Miami,2023-05-05
2023,6,Monaco Grand Prix,Monaco,Monaco,2023-05-26
2023,7,Spanish Grand Prix,Spain,Barcelona,2023-06-02
2023,8,Canadian Grand Prix,Canada,Montréal,2023-06-16
2023,9,Austrian Grand Prix,Austria,Spielberg,2023-06-30
2023,10,British Grand Prix,Great Britain,Silverstone,2023-07-07
2023,11,Hungarian Grand Prix,Hungary,Budapest,2023-07-21
2023,12,Belgian Grand Prix,Belgium,Spa-Francorchamps,2023-07-28
2023,13,Dutch Grand Prix,Netherlands,Zandvoort,2023-08-25
2023,14,Italian Grand Prix,Italy,Monza,2023-09-01
2023,15,Singapore Grand Prix,Singapore,Marina Bay,2023-09-15
2023,16,Japanese Grand Prix,Japan,Suzuka,2023-09-22
2023,17,Qatar Grand Prix,Qatar,Lusail,2023-10-06
2023,18,United States Grand Prix,United States,Austin,2023-10-20
2023,19,Mexico City Grand Prix,Mexico,Mexico City,2023-10-27
2023,20,São Paulo Grand Prix,Brazil,São Paulo,2023-11-03
2023,21,Las Vegas Grand Prix,United States,Las Vegas,2023-11-16
2023,22,Abu Dhabi Grand Prix,Abu Dhabi,Yas Island,2023-11-24
2024,0,Pre-Season Testing,Bahrain,Sakhir,2024-02-21
2024,1,Bahrain Grand Prix,Bahrain,Sakhir,2024-02-29
2024,2,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2024-03-07
2024,3,Australian Grand Prix,Australia,Melbourne,2024-03-22
2024,4,Japanese Grand Prix,Japan,Suzuka,2024-04-05
2024,5,Chinese Grand Prix,China,Shanghai,2024-04-19
2024,6,Miami Grand Prix,United States,Miami,2024-05-03
2024,7,Emilia Romagna Grand Prix,Italy,Imola,2024-05-17
2024,8,Monaco Grand Prix,Monaco,Monaco,2024-05-24
2024,9,Canadian Grand Prix,Canada,Montréal,2024-06-07
2024,10,Spanish Grand Prix,Spain,Barcelona,2024-06-21
2024,11,Austrian Grand Prix,Austria,Spielberg,2024-06-28
2024,12,British Grand Prix,United Kingdom,Silverstone,2024-07-05
2024,13,Hungarian Grand Prix,Hungary,Budapest,2024-07-19
2024,14,Belgian Grand Prix,Belgium,Spa-Francorchamps,2024-07-26
2024,15,Dutch Grand Prix,Netherlands,Zandvoort,2024-08-23
2024,16,Italian Grand Prix,Italy,Monza,2024-08-30
2024,17,Azerbaijan Grand Prix,Azerbaijan,Baku,2024-09-13
2024,18,Singapore Grand Prix,Singapore,Marina Bay,2024-09-20
2024,19,United States Grand Prix,United States,Austin,2024-10-18
2024,20,Mexico City Grand Prix,Mexico,Mexico City,2024-10-25
2024,21,São Paulo Grand Prix,Brazil,São Paulo,2024-11-01
2024,22,Las Vegas Grand Prix,United States,Las Vegas,2024-11-21
2024,23,Qatar Grand Prix,Qatar,Lusail,2024-11-29
2024,24,Abu Dhabi Grand Prix,United Arab Emirates,Yas Island,2024-12-06
