season,round_num,event_name,country,location,event_date
1973,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1973,7,Swedish Grand Prix,Sweden,Anderstorp,
1973,8,French Grand Prix,France,Le Castellet,
1973,9,British Grand Prix,UK,Silverstone,
1973,10,Dutch Grand Prix,Netherlands,Zandvoort,
1973,11,German Grand Prix,Germany,Nürburg,
1973,12,Austrian Grand Prix,Austria,Spielberg,
1973,13,Italian Grand Prix,Italy,Monza,
1973,14,Canadian Grand Prix,Canada,Ontario,
1973,15,United States Grand Prix,USA,New York State,
1974,1,Argentine Grand Prix,Argentina,Buenos Aires,
1974,2,Brazilian Grand Prix,Brazil,São Paulo,
1974,3,South African Grand Prix,South Africa,Midrand,
1974,4,Spanish Grand Prix,Spain,Madrid,
1974,5,Belgian Grand Prix,Belgium,Brussels,
1974,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1974,7,Swedish Grand Prix,Sweden,Anderstorp,
1974,8,Dutch Grand Prix,Netherlands,Zandvoort,
1974,9,French Grand Prix,France,Dijon,
1974,10,British Grand Prix,UK,Kent,
1974,11,German Grand Prix,Germany,Nürburg,
1974,12,Austrian Grand Prix,Austria,Spielberg,
1974,13,Italian Grand Prix,Italy,Monza,
1974,14,Canadian Grand Prix,Canada,Ontario,
1974,15,United States Grand Prix,USA,New York State,
1975,1,Argentine Grand Prix,Argentina,Buenos Aires,
1975,2,Brazilian Grand Prix,Brazil,São Paulo,
1975,3,South African Grand Prix,South Africa,Midrand,
1975,4,Spanish Grand Prix,Spain,Barcelona,
1975,5,Monaco Grand Prix,Monaco,Monte-Carlo,
1975,6,Belgian Grand Prix,Belgium,Heusden-Zolder,
1975,7,Swedish Grand Prix,Sweden,Anderstorp,
1975,8,Dutch Grand Prix,Netherlands,Zandvoort,
1975,9,French Grand Prix,France,Le Castellet,
1975,10,British Grand Prix,UK,Silverstone,
1975,11,German Grand Prix,Germany,Nürburg,
1975,12,Austrian Grand Prix,Austria,Spielberg,
1975,13,Italian Grand Prix,Italy,Monza,
1975,14,United States Grand Prix,USA,New York State,
1976,1,Brazilian Grand Prix,Brazil,São Paulo,
1976,2,South African Grand Prix,South Africa,Midrand,
1976,3,United States Grand Prix West,USA,California,
1976,4,Spanish Grand Prix,Spain,Madrid,
1976,5,Belgian Grand Prix,Belgium,Heusden-Zolder,
1976,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1976,7,Swedish Grand Prix,Sweden,Anderstorp,
1976,8,French Grand Prix,France,Le Castellet,
1976,9,British Grand Prix,UK,Kent,
1976,10,German Grand Prix,Germany,Nürburg,
1976,11,Austrian Grand Prix,Austria,Spielberg,
1976,12,Dutch Grand Prix,Netherlands,Zandvoort,
1976,13,Italian Grand Prix,Italy,Monza,
1976,14,Canadian Grand Prix,Canada,Ontario,
1976,15,United States Grand Prix,USA,New York State,
1976,16,Japanese Grand Prix,Japan,Oyama,
1977,1,Argentine Grand Prix,Argentina,Buenos Aires,
1977,2,Brazilian Grand Prix,Brazil,São Paulo,
1977,3,South African Grand Prix,South Africa,Midrand,
1977,4,United States Grand Prix West,USA,California,
1977,5,Spanish Grand Prix,Spain,Madrid,
1977,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1977,7,Belgian Grand Prix,Belgium,Heusden-Zolder,
1977,8,Swedish Grand Prix,Sweden,Anderstorp,
1977,9,French Grand Prix,France,Dijon,
1977,10,British Grand Prix,UK,Silverstone,
1977,11,German Grand Prix,Germany,Hockenheim,
1977,12,Austrian Grand Prix,Austria,Spielberg,
1977,13,Dutch Grand Prix,Netherlands,Zandvoort,
1977,14,Italian Grand Prix,Italy,Monza,
1977,15,United States Grand Prix,USA,New York State,
1977,16,Canadian Grand Prix,Canada,Ontario,
1977,17,Japanese Grand Prix,Japan,Oyama,
1978,1,Argentine Grand Prix,Argentina,Buenos Aires,
1978,2,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1978,3,South African Grand Prix,South Africa,Midrand,
1978,4,United States Grand Prix West,USA,California,
1978,5,Monaco Grand Prix,Monaco,Monte-Carlo,
1978,6,Belgian Grand Prix,Belgium,Heusden-Zolder,
1978,7,Spanish Grand Prix,Spain,Madrid,
1978,8,Swedish Grand Prix,Sweden,Anderstorp,
1978,9,French Grand Prix,France,Le Castellet,
1978,10,British Grand Prix,UK,Kent,
1978,11,German Grand Prix,Germany,Hockenheim,
1978,12,Austrian Grand Prix,Austria,Spielberg,
1978,13,Dutch Grand Prix,Netherlands,Zandvoort,
1978,14,Italian Grand Prix,Italy,Monza,
1978,15,United States Grand Prix,USA,New York State,
1978,16,Canadian Grand Prix,Canada,Montreal,
1979,1,Argentine Grand Prix,Argentina,Buenos Aires,
1979,2,Brazilian Grand Prix,Brazil,São Paulo,
1979,3,South African Grand Prix,South Africa,Midrand,
1979,4,United States Grand Prix West,USA,California,
1979,5,Spanish Grand Prix,Spain,Madrid,
1979,6,Belgian Grand Prix,Belgium,Heusden-Zolder,
1979,7,Monaco Grand Prix,Monaco,Monte-Carlo,
1979,8,French Grand Prix,France,Dijon,
1979,9,British Grand Prix,UK,Silverstone,
1979,10,German Grand Prix,Germany,Hockenheim,
1979,11,Austrian Grand Prix,Austria,Spielberg,
1979,12,Dutch Grand Prix,Netherlands,Zandvoort,
1979,13,Italian Grand Prix,Italy,Monza,
1979,14,Canadian Grand Prix,Canada,Montreal,
1979,15,United States Grand Prix,USA,New York State,
1980,1,Argentine Grand Prix,Argentina,Buenos Aires,
1980,2,Brazilian Grand Prix,Brazil,São Paulo,
1980,3,South African Grand Prix,South Africa,Midrand,
1980,4,United States Grand Prix West,USA,California,
1980,5,Belgian Grand Prix,Belgium,Heusden-Zolder,
1980,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1980,7,French Grand Prix,France,Le Castellet,
1980,8,British Grand Prix,UK,Kent,
1980,9,German Grand Prix,Germany,Hockenheim,
1980,10,Austrian Grand Prix,Austria,Spielberg,
1980,11,Dutch Grand Prix,Netherlands,Zandvoort,
1980,12,Italian Grand Prix,Italy,Imola,
1980,13,Canadian Grand Prix,Canada,Montreal,
1980,14,United States Grand Prix,USA,New York State,
1981,1,United States Grand Prix West,USA,California,
1981,2,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1981,3,Argentine Grand Prix,Argentina,Buenos Aires,
1981,4,San Marino Grand Prix,Italy,Imola,
1981,5,Belgian Grand Prix,Belgium,Heusden-Zolder,
1981,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1981,7,Spanish Grand Prix,Spain,Madrid,
1981,8,French Grand Prix,France,Dijon,
1981,9,British Grand Prix,UK,Silverstone,
1981,10,German Grand Prix,Germany,Hockenheim,
1981,11,Austrian Grand Prix,Austria,Spielberg,
1981,12,Dutch Grand Prix,Netherlands,Zandvoort,
1981,13,Italian Grand Prix,Italy,Monza,
1981,14,Canadian Grand Prix,Canada,Montreal,
1981,15,Caesars Palace Grand Prix,USA,Nevada,
1982,1,South African Grand Prix,South Africa,Midrand,
1982,2,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1982,3,United States Grand Prix West,USA,California,
1982,4,San Marino Grand Prix,Italy,Imola,
1982,5,Belgian Grand Prix,Belgium,Heusden-Zolder,
1982,6,Monaco Grand Prix,Monaco,Monte-Carlo,
1982,7,Detroit Grand Prix,USA,Detroit,
1982,8,Canadian Grand Prix,Canada,Montreal,
1982,9,Dutch Grand Prix,Netherlands,Zandvoort,
1982,10,British Grand Prix,UK,Kent,
1982,11,French Grand Prix,France,Le Castellet,
1982,12,German Grand Prix,Germany,Hockenheim,
1982,13,Austrian Grand Prix,Austria,Spielberg,
1982,14,Swiss Grand Prix,France,Dijon,
1982,15,Italian Grand Prix,Italy,Monza,
1982,16,Caesars Palace Grand Prix,USA,Nevada,
1983,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1983,2,United States Grand Prix West,USA,California,
1983,3,French Grand Prix,France,Le Castellet,
1983,4,San Marino Grand Prix,Italy,Imola,
1983,5,Monaco Grand Prix,Monaco,Monte-Carlo,
1983,6,Belgian Grand Prix,Belgium,Spa,
1983,7,Detroit Grand Prix,USA,Detroit,
1983,8,Canadian Grand Prix,Canada,Montreal,
1983,9,British Grand Prix,UK,Silverstone,
1983,10,German Grand Prix,Germany,Hockenheim,
1983,11,Austrian Grand Prix,Austria,Spielberg,
1983,12,Dutch Grand Prix,Netherlands,Zandvoort,
1983,13,Italian Grand Prix,Italy,Monza,
1983,14,European Grand Prix,UK,Kent,
1983,15,South African Grand Prix,South Africa,Midrand,
1984,1,Brazilian Grand Prix,Brazil,Rio de Janeiro,
1984,2,South African Grand Prix,South Africa,Midrand,
1984,3,Belgian Grand Prix,Belgium,Heusden-Zolder,
1984,4,San Marino Grand Prix,Italy,Imola,
1984,5,French Grand Prix,France,Dijon,
1984,6,Monaco Grand Prix,Monaco,Monte-Carlo,
